# sector,use sector filter,title
Digital Tech,1,Project Manager
Digital Tech,1,Management Consultant
Digital Tech,0,IT Manager
Digital Tech,0,IT Consultant
Digital Tech,1,Business Analyst
Digital Tech,0,IT Service Manager
Digital Tech,0,Network Engineer
Digital Tech,1,Engineer
Digital Tech,0,Software Developer
Digital Tech,0,Data Analyst
Digital Tech,0,Test Analyst
Digital Tech,0,Web Developer
Digital Tech,0,Web Designer
Digital Tech,0,Database Administrator
Digital Tech,0,Digital Marketer
Digital Tech,0,Animator
Digital Tech,0,Cyber Security Analyst
Digital Tech,0,IT Trainer
Digital Tech,0,Data Scientist
Digital Tech,0,Game Developer
Digital Tech,0,Game Designer
